customer_id,name,email,phone,company,last_contacted
1,Customer_1,customer1@example.com,1234567891,Vandelay Industries,2023-04-10
2,Customer_2,customer2@example.com,1234567892,Acme Corp,2023-06-27
3,Customer_3,customer3@example.com,1234567893,Hooli,2023-01-30
4,Customer_4,customer4@example.com,1234567894,Hooli,2023-05-28
5,Customer_5,customer5@example.com,1234567895,Hooli,2023-05-28
6,Customer_6,customer6@example.com,1234567896,Globex Inc,2023-05-23
7,Customer_7,customer7@example.com,1234567897,Hooli,2023-06-17
8,Customer_8,customer8@example.com,1234567898,Initech,2023-02-02
9,Customer_9,customer9@example.com,1234567899,Vandelay Industries,2023-01-10
10,Customer_10,customer10@example.com,1234567890,Acme Corp,2023-05-08
11,Customer_11,customer11@example.com,1234567891,Acme Corp,2023-02-02
12,Customer_12,customer12@example.com,1234567892,Vandelay Industries,2023-02-01
13,Customer_13,customer13@example.com,1234567893,Initech,2023-06-01
14,Customer_14,customer14@example.com,1234567894,Globex Inc,2023-06-13
15,Customer_15,customer15@example.com,1234567895,Acme Corp,2023-04-25
16,Customer_16,customer16@example.com,1234567896,Globex Inc,2023-01-29
17,Customer_17,customer17@example.com,1234567897,Globex Inc,2023-02-04
18,Customer_18,customer18@example.com,1234567898,Acme Corp,2023-05-09
19,Customer_19,customer19@example.com,1234567899,Globex Inc,2023-05-09
20,Customer_20,customer20@example.com,1234567890,Vandelay Industries,2023-06-14
21,Customer_21,customer21@example.com,1234567891,Hooli,2023-02-23
22,Customer_22,customer22@example.com,1234567892,Acme Corp,2023-05-14
23,Customer_23,customer23@example.com,1234567893,Hooli,2023-02-08
24,Customer_24,customer24@example.com,1234567894,Acme Corp,2023-01-18
25,Customer_25,customer25@example.com,1234567895,Initech,2023-03-21
